Date;DL;UL;Ping
2018-03-22 00:50:41;128.92;12.52;23.88
2018-03-22 01:00:39;116.24;12.53;28.766
2018-03-22 01:10:37;126.18;10.16;20.091
2018-03-22 01:20:34;157.64;12.44;21.635
2018-03-22 01:30:33;185.25;11.9;19.047
2018-03-22 01:40:33;175.32;12.38;31.308
2018-03-22 01:50:28;182.19;12.53;19.71
2018-03-22 02:00:36;48.75;12.06;20.885
2018-03-22 02:10:23;192.71;12.24;18.939
2018-03-22 02:20:21;195.24;12.17;18.107
2018-03-22 02:30:19;191.9;12.31;17.964
2018-03-22 02:40:17;190.26;12.4;18.196
2018-03-22 02:50:14;189.06;12.45;17.669
2018-03-22 03:00:12;191.25;12.39;18.518
2018-03-22 03:10:10;194.37;12.45;19.864
2018-03-22 03:20:08;195.21;12.16;16.334
2018-03-22 03:30:06;191.5;12.35;18.58
2018-03-22 03:40:03;193.19;12.46;19.947
2018-03-22 03:50:01;196.15;12.18;16.718
2018-03-22 03:59:59;185.89;12.7;22.629
2018-03-22 04:09:56;184.08;12.33;18.098
2018-03-22 04:19:54;192.78;12.36;18.994
2018-03-22 04:29:53;190.34;12.46;18.797
2018-03-22 04:39:57;194.83;12.04;16.066
2018-03-22 04:49:47;180.34;12.41;18.901
2018-03-22 04:59:45;176.9;12.68;17.725
2018-03-22 05:09:43;198.21;12.4;19.496
2018-03-22 05:19:41;180.17;12.04;18.484
2018-03-22 05:29:38;194.01;12.55;20.926
2018-03-22 05:39:36;198.3;12.22;17.079
2018-03-22 05:49:35;197.27;12.34;18.439
2018-03-22 05:59:33;194.5;12.41;18.627
2018-03-22 06:09:30;192.84;12.31;20.685
2018-03-22 06:19:29;195.75;12.39;20.15
2018-03-22 06:29:26;198.1;12.32;18.764
2018-03-22 06:39:24;191.01;12.22;19.215
2018-03-22 06:49:22;189.79;12.41;19.232
2018-03-22 06:59:19;195.61;11.69;17.024
2018-03-22 07:09:18;195.11;11.74;17.1
2018-03-22 07:19:15;189.65;12.3;17.538
2018-03-22 07:29:12;186.68;12.09;18.498
2018-03-22 07:39:10;191.27;12.23;15.946
2018-03-22 07:49:08;194.96;12.35;20.191
2018-03-22 07:59:06;194.52;12.22;17.021
2018-03-22 08:09:04;195.75;12.38;21.865
2018-03-22 08:19:01;194.58;12.19;17.698
